name,population
"Oceana County, MI",26625
"Ogemaw County, MI",20952
"Ontonagon County, MI",5795
"Oscoda County, MI",8276
"Otsego County, NY",59749
"Presque Isle County, MI",12738
"Roscommon County, MI",23884
"Saginaw County, MI",190800
"Sanilac County, MI",41182
"Schoolcraft County, MI",8068
"Shiawassee County, MI",68192
"Tuscola County, MI",52516
"Washtenaw County, MI",370963
"Wexford County, MI",33466
"Aitkin County, MN",15902
"Anoka County, MN",353813
"Becker County, MN",34371
"Beltrami County, MN",46847
"Big Stone County, MN",4989
"Blue Earth County, MN",67427
"Carlton County, MN",35837
"Carver County, MN",103551
"Chisago County, MN",55922
"Cottonwood County, MN",11277
"Crow Wing County, MN",64889
"Dakota County, NE",20083
"Faribault County, MN",13758
"Fillmore County, NE",5527
"Freeborn County, MN",30444
"Goodhue County, MN",46403
"Hennepin County, MN",1259428
"Hubbard County, MN",21332
"Isanti County, MN",39966
"Itasca County, MN",45108
"Kanabec County, MN",16207
"Kandiyohi County, MN",42855
"Kittson County, MN",4248
"Koochiching County, MN",12440
"Lac qui Parle County, MN",6658
"Lake of the Woods County, MN",3758
"Le Sueur County, MN",28494
"McLeod County, MN",35873
"Mahnomen County, MN",5519
"Meeker County, MN",23141
"Mille Lacs County, MN",26139
"Morrison County, MN",33169
"Mower County, MN",40011
"Nicollet County, MN",34220
"Nobles County, MN",21924
"Norman County, MN",6475
"Olmsted County, MN",156277
"Otter Tail County, MN",58812
"Pennington County, SD",111729
"Pine County, MN",29483
"Pipestone County, MN",9047
"Ramsey County, ND",11481
"Red Lake County, MN",3999
"Redwood County, MN",15249
"Renville County, ND",2374
"Rock County, WI",163129
"Roseau County, MN",15150
"St. Louis County, MO",996945
"Sherburne County, MN",96036
"Sibley County, MN",15028
"Stearns County, MN",159256
"Steele County, ND",1903
"Swift County, MN",9345
"Traverse County, MN",3308
"Wabasha County, MN",21645
"Wadena County, MN",13773
"Waseca County, MN",18691
"Watonwan County, MN",10980
"Wilkin County, MN",6254
"Winona County, MN",50825
"Yellow Medicine County, MN",9795
"Alcorn County, MS",36925
"Amite County, MS",12326
"Attala County, MS",18365
"Bolivar County, MS",31333
"Claiborne County, TN",31756
"Coahoma County, MS",22628
"Copiah County, MS",28543
"Forrest County, MS",75036
"George County, MS",24250
"Grenada County, MS",21055
"Hinds County, MS",237085
"Humphreys County, TN",18486
"Issaquena County, MS",1308
"Itawamba County, MS",23517
"Jefferson Davis County, MS",11234
"Kemper County, MS",10027
"Leake County, MS",22763
"Leflore County, MS",28919
"Neshoba County, MS",29125
"Noxubee County, MS",10535
"Oktibbeha County, MS",49599
"Panola County, TX",23148
"Pearl River County, MS",55387
"Pontotoc County, OK",38247
"Prentiss County, MS",25315
"Rankin County, MS",153902
"Sharkey County, MS",4377
"Sunflower County, MS",25735
"Tallahatchie County, MS",13987
"Tate County, MS",28759
"Tippah County, MS",21995
"Tishomingo County, MS",19454
"Tunica County, MS",9944
"Walthall County, MS",14465
"Yalobusha County, MS",12392
"Yazoo County, MS",28248
"Andrew County, MO",17607
"Audrain County, MO",25473
"Bates County, MO",16320
"Bollinger County, MO",12169
"Callaway County, MO",44889
"Cape Girardeau County, MO",78753
"Chariton County, MO",7451
"Cole County, MO",76796
"Cooper County, MO",17603
"Dent County, MO",15441
"Dunklin County, MO",29423
"Gasconade County, MO",14705
"Gentry County, MO",6628
"Hickory County, MO",9509
"Holt County, NE",10178
"Howell County, MO",40076
"Laclede County, MO",35713
"McDonald County, MO",23078
"Maries County, MO",8769
